name,address,city,lat,long,company,connector,power_supply,charging_speed,,
איקאה אשתאול,המלאכה 7,ישראל,31.774366,35.001938,EV-Edge,type 2,22.08,איטי,,
החניון הצפוני של בית העירייה,שלמה אבן גבירול 69,תל אביב יפו,32.0820472,34.7803151,EV-Edge,type 2,22.08,איטי,,
החניון הצפוני של בית העירייה,שלמה אבן גבירול 69,תל אביב יפו,32.0820472,34.7803151,EV-Edge,type 2,22.08,איטי,,
החניון הצפוני של בית העירייה,שלמה אבן גבירול 69,תל אביב יפו,32.0820472,34.7803151,EV-Edge,type 2,22.08,איטי,,
החניון הצפוני של בית העירייה,שלמה אבן גבירול 69,תל אביב יפו,32.0820472,34.7803151,EV-Edge,type 2,22.08,איטי,,
החניון הצפוני של בית העירייה,שלמה אבן גבירול 69,תל אביב יפו,32.0820472,34.7803151,EV-Edge,type 2,22.08,איטי,,
סנטר הגליל ראש פינה - חניון חיצוני,האגס 6,ראש פינה,32.96910616,35.55043548,EV-Edge,CHAdeMO,50,מהיר,,
חניון בני דן אוסישקין - אחוזות החוף,אוסישקין 7,תל אביב יפו,32.0955563,34.7786653,EV-Edge,type 2,22.08,איטי,,
חניון התקומה - אחוזות החוף,המרד 36,תל אביב יפו,32.0647184,34.7646781,EV-Edge,type 2,22.08,איטי,,
חניון בית האצל - אחוזות החוף,נחום גולדמן 13,תל אביב יפו,32.0595291,34.7596879,EV-Edge,type 2,22.08,איטי,,
